,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
upper_hsv : [179 210 100],0.27855931979924553,231.0,0.43822979839385034,0.07213517390798098,44.0,0.2484655990163789,0.6128088592655143,0.0,0.6128088592655143,0.21779584719953618,32.0,0.2868004720548348,0.11338144289776746,155.0,0.29455797536327216
upper_hsv : [179 220 100],0.36315186755778583,156.0,0.4816700502753896,0.0723341419385453,44.0,0.24915093334387825,0.69364635845306,0.0,0.69364635845306,0.21905937384792246,31.0,0.28563624237033025,0.2655031804720259,81.0,0.3912678449061434
upper_hsv : [179 230 100],0.4759430087253648,97.0,0.5619140922381403,0.07326877884231713,44.0,0.2523702382346479,0.7645574675882834,0.0,0.7645574675882834,0.22015307251104005,31.0,0.2870623396467483,0.4958436434947632,22.0,0.5432721659160014
upper_hsv : [179 190 110],0.19627639041316347,276.0,0.34759561877638445,0.08161966557557761,43.0,0.2663378560887269,0.39916379400985963,1.0,0.40130983591313846,0.2800962049072026,25.0,0.34493328937646245,0.029692013983167186,207.0,0.16627527830573624
upper_hsv : [179 200 110],0.25006940602255406,248.0,0.41073576015103436,0.08183560410836242,43.0,0.2670424976167616,0.547755211883511,0.0,0.547755211883511,0.28181465976333,25.0,0.34704953470854527,0.05380405393984657,180.0,0.188314188789463
upper_hsv : [179 210 110],0.31075032463394486,208.0,0.46247818267117613,0.08248669348220099,43.0,0.26916710504718216,0.6342241639979828,0.0,0.6342241639979828,0.2844175865311648,24.0,0.34704164228114603,0.14077013153078127,141.0,0.3195862445563683
upper_hsv : [179 220 110],0.4025872955824316,124.0,0.5004712654887483,0.08294548810276418,43.0,0.27066422433533577,0.7104945175800111,0.0,0.7104945175800111,0.28542794817073874,24.0,0.3482744688688831,0.3145767192171426,57.0,0.4065299140652304
upper_hsv : [179 230 110],0.5158313746921998,81.0,0.5913871456688149,0.08421085401028754,43.0,0.2747933130862014,0.7861055390236589,0.0,0.7861055390236589,0.28597373212577726,24.0,0.34894042543787496,0.5427768906193023,14.0,0.5747049430086731
upper_hsv : [179 190 120],0.2369292733068614,251.0,0.39220146025208913,0.09300571670530493,38.0,0.24026476815537104,0.4581601744879565,1.0,0.4606234012325154,0.3625169150902187,23.0,0.4383159064272644,0.04188929565307253,189.0,0.1675571826122901
upper_hsv : [179 200 120],0.2842498180309863,222.0,0.43741355493117795,0.09321203033109425,38.0,0.24079774502199347,0.5760587686435771,0.0,0.5760587686435771,0.36403141540108586,21.0,0.43228730578878943,0.07260345542231807,163.0,0.2055738288362264
upper_hsv : [179 210 120],0.3482603097847393,177.0,0.4831444997888944,0.09402738049005413,38.0,0.24290406626597316,0.6593930693774079,0.0,0.6593930693774079,0.3651395697739312,21.0,0.4336032391065433,0.1710209208715606,118.0,0.3216214332808453
upper_hsv : [179 220 120],0.4402784478457474,101.0,0.5237083225782436,0.09459964216500498,38.0,0.24438240892626287,0.7246911194146747,0.0,0.7246911194146747,0.3646124534445414,21.0,0.43297728846539296,0.35420897810041796,42.0,0.4250507737205016
upper_hsv : [179 230 120],0.5263074022515367,101.0,0.6260391989258429,0.09583477896235681,38.0,0.24757317898608844,0.799812648620804,0.0,0.799812648620804,0.36671622457428665,20.0,0.43162175104761175,0.5134877522672127,43.0,0.6191335577575962
upper_hsv : [179 190 130],0.2688125152253302,230.0,0.4218493432001469,0.1058123888327645,35.0,0.24297659657894072,0.4950427943029004,1.0,0.49770431470237836,0.44241503417475847,16.0,0.5029162354294263,0.04941493835453438,178.0,0.16827789818030625
upper_hsv : [179 200 130],0.3119366655165169,205.0,0.4609973098775564,0.10786472813180978,34.0,0.2388433265775788,0.5978828261624489,0.0,0.5978828261624489,0.444885974280129,15.0,0.5014392760953996,0.07978694333993808,156.0,0.20944072626733745
upper_hsv : [179 210 130],0.3832998866193339,145.0,0.49695731721197894,0.11192747021497082,32.0,0.23131677177760637,0.6785618745790893,0.0,0.6785618745790893,0.4493733834615559,15.0,0.5064971186473469,0.19609085085973355,98.0,0.3208759377704731
upper_hsv : [179 220 130],0.4738549540058887,101.0,0.5636473561721077,0.11520330807476988,30.0,0.22320640939486663,0.7451532165293088,0.0,0.7451532165293088,0.4519116501036153,14.0,0.5050777265863935,0.37235529676323864,57.0,0.4811976142786469
upper_hsv : [179 230 130],0.48107245531568876,159.0,0.6421051298318877,0.11819545250604183,29.0,0.22206418349619977,0.8048234501095752,0.0,0.8048234501095752,0.4544035829207269,14.0,0.5078628279702242,0.34418316236438423,116.0,0.6377511537928297
