,Total,Total,Total,Total,V1,V1,V1,V1,V2,V2,V2,V2,T3,T3,T3,T3
,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score
"ising : (0, 0, -1, 0)",0.4933756213706996,64.0,0.5741327563265175,-0.42530569731061907,0.49421288183860523,0.0,0.49421288183860523,0.09098707538699237,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3775443926321525,64.0,0.5477052456494607,-0.6224556073678474
"ising : (0, 0, -1, 1)",0.5180334160375811,43.0,0.5721000104298529,-0.4094391114349463,0.493258943704376,0.0,0.493258943704376,0.025517008220505004,0.6360562513718029,0.0,0.6360562513718029,-0.3639437486281971,0.41835257660631536,43.0,0.5287155262631962,-0.5816474233936846
"ising : (0, 0, 0, -1)",0.4933466138496868,64.0,0.5740990007713747,-0.4253347048316319,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207791114807081,0.0,0.6207791114807081,-0.3792208885192919,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (0, 0, 0, 0)",0.4924951467640646,65.0,0.574577671224742,-0.42618617191725405,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3755682289356854,65.0,0.5487025188705759,-0.6244317710643145
"ising : (0, 0, 0, 1)",0.47358123036315336,54.0,0.5373552613846254,-0.46707811029618734,0.5231651198907374,0.0,0.5231651198907374,-0.04135100914152067,0.5823169285374679,0.0,0.5823169285374679,-0.4176830714625321,0.359951246337391,54.0,0.4878286627993589,-0.6400487536626089
"ising : (0, 0, 1, -1)",0.4733545460975511,59.0,0.5438795921070347,-0.4321399593969545,0.43581016102721265,0.0,0.43581016102721265,0.1293585481239869,0.5748579009937284,0.0,0.5748579009937284,-0.42514209900627165,0.39251291749937556,59.0,0.550052115679397,-0.6074870825006247
"ising : (0, 0, 1, 0)",0.4205014166482211,72.0,0.4995512913183828,-0.5267513306045262,0.5121231442803972,0.0,0.5121231442803972,-0.10078008152605442,0.48900237539601404,0.0,0.48900237539601404,-0.510997624603986,0.33074303607039496,72.0,0.5084557121679206,-0.6692569639296051
"ising : (0, 0, 1, 1)",0.42082868090163006,53.0,0.47631106917970567,-0.5505998905269414,0.5316816944234873,0.0,0.5316816944234873,-0.2586408862216739,0.49235772342642287,0.0,0.49235772342642287,-0.5076422765735772,0.3225334489089533,53.0,0.43426072206042077,-0.6774665510910467
"ising : (0, 1, -1, -1)",0.4359861736737517,63.0,0.5060553801570332,-0.4365412988537208,0.4840365978189705,0.0,0.4840365978189705,0.41952046878671245,0.5169598747920023,0.0,0.5169598747920023,-0.48304012520799766,0.3480191425760992,63.0,0.5013422613334017,-0.6519808574239009
"ising : (0, 1, -1, 0)",0.42728703347602426,68.0,0.5023658920712947,-0.49139428520529443,0.5266089612270719,0.0,0.5266089612270719,0.12338315477545901,0.5118279991528188,0.0,0.5118279991528188,-0.48817200084718104,0.32065052812590017,68.0,0.4786522376372133,-0.6793494718740998
"ising : (0, 1, -1, 1)",0.46783238870665095,57.0,0.5348335097023271,-0.4552445343702721,0.5232846981988903,0.0,0.5232846981988903,0.08780082723114854,0.5713921806294944,0.0,0.5713921806294944,-0.42860781937050574,0.3571346980363085,57.0,0.49375669661395666,-0.6428653019636915
"ising : (0, 1, 0, -1)",0.42880993940806733,63.0,0.497725822527221,-0.4459153353172074,0.48841101582516455,0.0,0.48841101582516455,0.407765854534842,0.501410226933369,0.0,0.501410226933369,-0.498589773066631,0.3449676068590797,63.0,0.4969463427480449,-0.6550323931409202
"ising : (0, 1, 0, 0)",0.40670985402408527,62.0,0.47087273175816485,-0.5251582778440466,0.5476718444930471,0.0,0.5476718444930471,0.04767184449304709,0.46743448739134186,0.0,0.46743448739134186,-0.5325655126086581,0.30916058291363563,62.0,0.44227138944589545,-0.6908394170863643
"ising : (0, 1, 0, 1)",0.42217253142055355,53.0,0.47783209402077576,-0.5360692268212047,0.5505113303133685,0.0,0.5505113303133685,-0.14303705678340586,0.4963135813231387,0.0,0.4963135813231387,-0.5036864186768614,0.316243493249981,53.0,0.4257918928725235,-0.683756506750019
"ising : (0, 1, 1, -1)",0.39897570985050457,76.0,0.47898139309229437,-0.5021231912483967,0.4844537511474309,0.0,0.4844537511474309,0.2102602027603341,0.44863302867497973,0.0,0.44863302867497973,-0.5513669713250203,0.3281720342165904,76.0,0.5200264542201356,-0.6718279657834096
"ising : (0, 1, 1, 0)",0.3945662639912549,55.0,0.4488191252900524,-0.5570820876570969,0.5392029198958288,0.0,0.5392029198958288,-0.10595837042675195,0.4385964067798392,0.0,0.4385964067798392,-0.5614035932201608,0.3110657330808235,55.0,0.4243678212890705,-0.6889342669191765
"ising : (0, 1, 1, 1)",0.3839535520733086,56.0,0.437841769908159,-0.5896728215530652,0.5556230149930654,0.0,0.5556230149930654,-0.25082859791016054,0.43075452794516317,0.0,0.43075452794516317,-0.5692454720548369,0.2898016628060187,56.0,0.3979942835869324,-0.7101983371939814
"ising : (1, -1, -1, -1)",0.5240255252214212,43.0,0.5787175096498706,-0.4342162330203369,0.46378440601386905,0.0,0.46378440601386905,-0.229763981082905,0.6389709171737923,0.0,0.6389709171737923,-0.36102908282620766,0.437812715006736,43.0,0.553309320806059,-0.5621872849932639
"ising : (1, -1, -1, 0)",0.533572243373683,39.0,0.5835946411899658,-0.4466475368460972,0.44387430849309867,0.0,0.44387430849309867,-0.4109644011843207,0.6539347283073385,0.0,0.6539347283073385,-0.34606527169266166,0.451307618519327,39.0,0.5567028108681519,-0.5486923814806729
"ising : (1, -1, -1, 1)",0.5346965646622368,38.0,0.5834219110822967,-0.3883803584146863,0.4763438877214766,0.0,0.4763438877214766,0.040860016753734664,0.6594590598883607,0.0,0.6594590598883607,-0.3405409401116394,0.4390037460362269,38.0,0.538302212401564,-0.5609962539637731
