,Total,Total,Total,Total,V1,V1,V1,V1,V2,V2,V2,V2,T3,T3,T3,T3
,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score
"upper_hsv : [179, 195, 60]",0.13325793331517746,256.0,0.3046852244140992,-0.8667420666848225,0.00762061852230602,53.0,0.0524975942647748,-0.992379381477694,0.19168657734020111,84.0,0.3480134947826952,-0.8083134226597989,0.11803151139517068,119.0,0.27947691203913977,-0.8819684886048292
"upper_hsv : [179, 195, 70]",0.2015707934175412,200.0,0.3596655333528676,-0.7984292065824588,0.06754370126976932,49.0,0.3221314983635152,-0.9324562987302307,0.25806004680693545,50.0,0.3522425456415834,-0.7419399531930645,0.19062996491921655,101.0,0.3739978359367487,-0.8093700350807834
"upper_hsv : [179, 195, 80]",0.2474865775515718,168.0,0.39235676928907726,-0.7525134224484282,0.13942672121706115,44.0,0.4802475953032106,-0.8605732787829389,0.31269343663344173,24.0,0.35873418803959267,-0.6873065633665584,0.22081681271870765,100.0,0.4291345605665451,-0.7791831872812923
"upper_hsv : [179, 195, 90]",0.30025215215248136,124.0,0.4127333209346798,-0.6997478478475186,0.24824067222292984,13.0,0.31410044240452345,-0.7517593277770701,0.38181846028175986,13.0,0.410345126854535,-0.6181815397182402,0.24186289067411776,98.0,0.46133106924878015,-0.7581371093258822
"upper_hsv : [179, 195, 100]",0.34134440309075403,109.0,0.4488777555095176,-0.658655596909246,0.36886678181484617,2.0,0.38116234120867437,-0.6311332181851539,0.42767079430076754,10.0,0.4518329860691725,-0.5723292056992324,0.25469672038606345,97.0,0.48135343485806487,-0.7453032796139366
"upper_hsv : [179, 195, 110]",0.3877409684658825,102.0,0.4997794352747211,-0.6122590315341175,0.5336318321252574,0.0,0.5336318321252574,-0.4663681678747426,0.46866924325341747,6.0,0.4842052402673429,-0.5313307567465826,0.27036805131952196,96.0,0.5063256233801957,-0.7296319486804781
"upper_hsv : [179, 195, 120]",0.43016724254326383,98.0,0.548252367947297,-0.5698327574567361,0.6442093128537223,0.0,0.6442093128537223,-0.3557906871462778,0.5193714217322257,2.0,0.5249862479131147,-0.4806285782677743,0.2847702043511069,96.0,0.5332969281484365,-0.715229795648893
"upper_hsv : [179, 195, 130]",0.4587208114068481,97.0,0.5830110871232288,-0.5346857819997453,0.6839445924665498,2.0,0.7067427455487681,-0.2676683107592565,0.5637915086918183,1.0,0.5668226458353226,-0.4362084913081818,0.2955553025816494,94.0,0.5436106458198194,-0.7044446974183506
"upper_hsv : [179, 195, 140]",0.4619477767970445,105.0,0.6005321098361579,-0.5270632122139445,0.5837340068600896,11.0,0.7096374201044225,-0.3356208318495877,0.5952296244056527,1.0,0.5984297836766509,-0.40477037559434725,0.30430480705569246,93.0,0.5547503562254217,-0.6956951929443077
"upper_hsv : [179, 195, 150]",0.46372196337889693,93.0,0.582854953970713,-0.5033110036540701,0.4287617614317962,4.0,0.4583315380822649,-0.3293027546972361,0.6271348408677814,0.0,0.6271348408677814,-0.3728651591322186,0.3259031499337457,89.0,0.5738123836440309,-0.6740968500662543
"upper_hsv : [179, 195, 160]",0.47903482299042277,83.0,0.5859162485501139,-0.4176684737128739,0.38213361309572785,0.0,0.38213361309572785,0.12406909696669562,0.6612651498056223,0.0,0.6612651498056223,-0.3333872566114899,0.34277658949056244,83.0,0.5740811173581778,-0.6572234105094377
"upper_hsv : [179, 205, 60]",0.19898723256096482,206.0,0.3636112080933293,-0.8010127674390353,0.00762061852230602,53.0,0.0524975942647748,-0.992379381477694,0.3099930500730439,45.0,0.4082302842511212,-0.6900069499269563,0.1558155927339651,108.0,0.3275307357469063,-0.8441844072660348
"upper_hsv : [179, 205, 70]",0.27963599848438453,166.0,0.4402573678560379,-0.7203640015156155,0.06817677980406589,48.0,0.30192573913229176,-0.9318232201959342,0.3992228440985216,20.0,0.44703396315223676,-0.6007771559014784,0.23472207337922002,98.0,0.4477106214455493,-0.7652779266207801
"upper_hsv : [179, 205, 80]",0.34045818357608965,141.0,0.4933390876659897,-0.6595418164239103,0.14446473931730586,42.0,0.4478406918836481,-0.855535260682694,0.47656858779048505,8.0,0.497867742552071,-0.523431412209515,0.27588996977003444,91.0,0.49420290237067044,-0.7241100302299656
"upper_hsv : [179, 205, 90]",0.3821182063626674,104.0,0.4953384156553096,-0.6178817936373326,0.2523178911181775,13.0,0.319259372435245,-0.7476821088818225,0.5154549783532475,3.0,0.5238591356090069,-0.48454502164675256,0.3001456004545116,88.0,0.5239829974036389,-0.6998543995454884
"upper_hsv : [179, 205, 100]",0.4224705258724873,86.0,0.5209324912519829,-0.5775294741275128,0.37057670468115583,2.0,0.38292926150386103,-0.6294232953188441,0.5527494546673343,2.0,0.5587251244475216,-0.4472505453326657,0.3198261434900899,82.0,0.5313240770883751,-0.6801738565099101
"upper_hsv : [179, 205, 110]",0.4724785184298215,78.0,0.5702326946566811,-0.5275214815701785,0.533743740789482,0.0,0.533743740789482,-0.46625625921051805,0.5987024329231457,0.0,0.5987024329231457,-0.40129756707685427,0.3394575679611294,78.0,0.5463145234374427,-0.6605424320388705
"upper_hsv : [179, 205, 120]",0.5172680205004498,70.0,0.6113167515005316,-0.48273197949955016,0.6445467246977399,0.0,0.6445467246977399,-0.35545327530225995,0.6429528589724699,0.0,0.6429528589724699,-0.35704714102753016,0.36486829013880057,70.0,0.5526681453573009,-0.6351317098611994
"upper_hsv : [179, 205, 130]",0.5458307168516573,68.0,0.6417389565051784,-0.4475758765549361,0.68680723147386,2.0,0.709700805856322,-0.2648056717519464,0.6715695773997009,0.0,0.6715695773997009,-0.32843042260029903,0.3892593050601004,66.0,0.572767263159862,-0.6107406949398996
"upper_hsv : [179, 205, 140]",0.5409252487018053,64.0,0.6294654428627146,-0.44149233371577706,0.5275701375009862,5.0,0.5738482197379148,-0.3595266366925622,0.6867691770688987,0.0,0.6867691770688987,-0.30788322934821344,0.41255244428337956,59.0,0.5781347178392938,-0.5874475557166204
"upper_hsv : [179, 205, 150]",0.5441885701580614,57.0,0.6221251241756732,-0.40086637489688365,0.4382268738078723,1.0,0.44541092091947676,-0.1746763519985794,0.7088282648658847,0.0,0.7088282648658847,-0.28582414155122754,0.42662547434907483,56.0,0.5858989847727294,-0.5733745256509251
